Sven Taddicken
Richard Fleischer
Nagisa Oshima
Michele Soavi
W.A. Gibson
Charles Barton
George Roy Hill
Charles Stone III
Mickey Moore
Gillies MacKinnon
Joseph McGinty Nichol
James Frawley
Troy Miller
Rick Jacobson
Nick Doob
Robert Bierman
Vincent Kok
Sanjay Gadhvi
Fabián Bielinsky
Brian Mulroney
Andrei Tarkovsky
Pixote Hunt
John Kent Harrison
Yoshiaki Kawajiri
Kiyoshi Kurosawa
Garry Marshall
Chuck Jones
Nathan H. Juran
John Hough
Edward James Olmos
Paul Sorvino
André de Toth
Ang Lee
Toby Ross
Mike Nawrocki
Steve Carr
Billy Hopkins
Robert Towne
Sam Wood
Marshall Lewy
Roger Corman
Motonori Sakakibara
Rajkumar Hirani
Isao Takahata
Jonathan Demme
Forest Whitaker
Anthony Russo
Nick Willing
Brian Trenchard-Smith
Alberto De Martino
Miranda July
Joel Coen
James Orr
Eriq La Salle
Jerome Robbins
Gilbert Adler
Dino Risi
Alejandro González Iñárritu
Allison Anders
Lenny Wong
Jasmila Žbanić
Nora Ephron
Ray Enright
George Miller
Dominic Zapata
Betty Thomas
Robert Day
Bruce W. Smith
Agnieszka Holland
Elmer Clifton
Richard Quine
Ritwik Ghatak
Kamal Tabrizi
Nick Giannopoulos
Callie Khouri
Andrea Bianchi
Basu Chatterjee
Gordon Chan
Jack Hill
Claude Chabrol
Jacques Demy
Ken Annakin
Stephen Surjik
LeVar Burton
Sydney Pollack
Wai Man Yip
Greg Spence
Federico Fellini
Jim Abrahams
Brian Helgeland
Roscoe Arbuckle
Kasi Lemmons
Gary O. Bennett
Charles Shyer
Chuck Russell
Richard Dembo
Rick Famuyiwa
William Wyler
Corey Yuen
Larry Morey
Charles Tait
Stan Lathan
Vincent Sherman
Mark Joffe
Wilfred Jackson
P. J. Pesce
Vondie Curtis-Hall
Buster Keaton
Alfred J. Goulding
Shawn Levy
Uwe Boll
Takao Okawara
Anatole Litvak
Jack Curtis
Rachid Bouchareb
Jaume Balagueró
Cecil B. DeMille
Mike Hodges
Stephen Hopkins
Lee Sholem
Elio Petri
Steve Bendelack
Takashi Nakamura
Hal Ashby
Don Coscarelli
Victor Fleming
Irving Rapper
Maximilian Schell
Paul Czinner
Joe Romersa
Iain Softley
Krzysztof Zanussi
Tunç Başaran
Steven Zaillian
Dwayne Carey-Hill
Laurie Lynd
Martin Gabler
Donald Petrie
Tom Shadyac
Robby Henson
John R. Leonetti
Jordan Galland
Bruce McCulloch
Matt Checkowski
Nick Cassavetes
Charles Burnett
Pantelis Voulgaris
Michael Herz
Terry Bourke
Edvin Laine
Billy Ray
Nicole Kassell
Mike Newell
Geoffrey Wright
Cheran
Alex Cox
David S. Ward
Malcolm D. Lee
Stephen Hillenburg
Thom Fitzgerald
Hong Sang-soo
Tony Kaye
Luchino Visconti
Abbas Burmawalla
Luis Puenzo
David Giancola
Alexander Witt
Franc Roddam
Sylvain Chomet
Zak Penn
Herbert Biberman
Kristi Zea
John Henderson
Raúl Ruiz
Martín De Salvo
Lino Brocka
Yahoo Serious
Gérard Depardieu
Marco Bechis
Thomas Carter
Hamilton Luske
Michael Hurst
Rob Minkoff
Alejandro Jodorowsky
Kevin Lima
Robert Redford
Don Weis
Richard Brooks
David Von Ancken
Marc Forster
Irvin Kershner
Vijay Anand
George Lucas
Mervyn LeRoy
Ilya Maksimov
Leon Ichaso
Jang Joon-hwan
Nicolas Gessner
Jack Donohue
William Dieterle
John McNaughton
Ted Kotcheff
Stephen Chow
Harald Zwart
Siddharth Anand
Greg Beeman
Bud Yorkin
Sadao Yamanaka
Alvin Ganzer
Benoît Poelvoorde
Darren Grant
Ben Stiller
Ronald F. Maxwell
Darnell Martin
Sylvester Stallone
Cary Medoway
Frank Miller
Otto Preminger
David Fincher
Alan Brown
David Kellogg
Hal Hartley
Arthur Lubin
Charles Laughton
Félix Sabroso
Tommy Lee Jones
Andrew Adamson
Jean Negulesco
Brian Gilbert
William Cottrell
Pradip Krishen
Sean McNamara
Laurent Cantet
Lee Unkrich
Wu Chia Hsiang
John Milius
Ingmar Bergman
Steve Oedekerk
Busby Berkeley
Kunihiko Yuyama
Randa Haines
Tom Dey
Todd Haynes
Poj Arnon
Jonathan Kaplan
Rich Thorne
Yoo Ha
Geoff Bennett
Mike Figgis
Michael Radford
Jesús Franco
Leonid Gaidai
Satyajit Ray
Jamie Babbit
Tom McGowan
Jay Woelfel
Yuan Muzhi
Steven Spielberg
Edward Burns
Otto Brower
Jean Girault
Karel Reisz
David O. Russell
Joel Schumacher
François Truffaut
Rod Daniel
Stephen Carpenter
Phil Mendez
Stanley Tucci
Frank Perry
Andrew Fleming
Jeff Lieberman
Tim Cox
Clyde Geronimi
Steve Purcell
Esteban Sapir
Mel Brooks
Satoshi Kon
Paul Wegener
Robert Iscove
Ronny Yu
Jerry Zucker
Robert Aldrich
Ron Howard
Howard Morris
René Clair
William Witney
Jack Perez
Billy Wilder
Robert Cormack
Michael Winterbottom
Vincente Minnelli
Richard Linklater
Luis Estrada
Prawaal Raman
John Musker
Jeroen Krabbé
James Isaac
Shigeyasu Yamauchi
Harry Lachman
Nancy Meyers
Elvin Ross
Matthias X. Oberg
Martin Kunert
Anurag Kashyap
Menahem Golan
Jules Dassin
Jeff Pollack
Kevin Connor
Samson Chiu
Subodh Mukherjee
Richard Kletter
Richard Lester
Irving Pichel
Robert Shaye
Bryan Singer
Emmanuel Benbihy
Bobby Ciraldo
Mark Pellington
Roger Kumble
Kelly Asbury
Ken Loach
Oliver Stone
Scott Frank
James Mangold
Charles T. Kanganis
Mikhail Kalatozov
Simon West
Peter Baldwin
Sterling Van Wagenen
Othello Khanh
Pavel Lungin
Brian Gibson
Anthony Asquith
William Keighley
Kevin Williamson
John R. Cherry III
Peter Medak
Gordon Hessler
Mani Ratnam
Don Siegel
F. Hugh Herbert
Jeff Anderson
Thomas Vinterberg
Bob Dolman
Lee Tamahori
Andrei Konchalovsky
Luis Mandoki
Michael Oblowitz
Nicholas Hytner
Eric Goldberg
Jim McBride
Dominic Sena
Charles Sturridge
Jonathan Prince
John Nicolella
Erle C. Kenton
Cory McAbee
Bobby Roth
James Cameron
Peter Kosminsky
Nancy Savoca
Bert I. Gordon
Bobby Farrelly
Shakti Samanta
Paul Schneider
Rick Rosenthal
Melville Shavelson
Alan Bunce
Ted Wilde
Ketan Mehta
Mark Waters
Alex Proyas
James Ivory
Bernard McEveety
Edmund Goulding
Noriaki Yuasa
Dale Schott
Edgar Kennedy
Kinji Fukasaku
Marcus Nispel
Jackie Chan
William K. Howard
Lionel C. Martin
Charles Kerr
Norman Taurog
Albert Pyun
Nicholas Meyer
Wojciech Jerzy Has
Barbara Dourmashkin
Gurinder Chadha
Chris Hegedus
Aleksandr Ptushko
Matthew Robbins
Howard Hawks
Frédéric Auburtin
Mekhi Phifer
Sandip Ray
Clarence Brown
Henry Koster
Ernst Lubitsch
Stuart Rosenberg
David O. Selznick
Yash Chopra
Edward F. Cline
Boaz Yakin
Curt Geda
Brad Anderson
Mary Harron
Andrzej Wajda
Mike Judge
Ralph Thomas
Gregory Hoblit
Jackie Cooper
Fred Dekker
Lasse Hallström
Charles Grosvenor
C. V. Sridhar
Robert Moore
D. A. Pennebaker
Yoshiyuki Kuroda
Robert Benton
Freddie Francis
John Hamburg
Terry Gilliam
Roy Andersson
Danis Tanović
Kurt Mattila
Martin Ritt
Gianfranco Parolini
Sidney Olcott
Rafe M. Portilo
George McCowan
Danny Boyle
Fred Guiol
David Miller
Tommy Chong
Karen Moncrieff
Ernest B. Schoedsack
Toyoo Ashida
Philip Charles MacKenzie
Andrew J. Smith
Guy Maddin
Mike Barker
S. Ramanathan
Brian K. Roberts
Ida Lupino
James Signorelli
Peyton Reed
Edward A. Blatt
Millard Johnson
Roger Spottiswoode
Gerardo Herrero
Chris Weitz
Blair Treu
Mark A. Reyes
Graham Baker
